ones,Date,Proton Density,Proton Temperature,Proton Speed,Magnetic Field
1,2002,4.143,106870.0,463.39,8.5115
1,2002.00011416,4.767,94267.0,472.24,8.4572
1,2002.00022831,5.144,97679.0,470.77,8.2681
1,2002.00034247,4.394,112970.0,451.73,8.0418
1,2002.00045662,5.145,98456.0,459.81,7.9791
1,2002.00057078,5.072,91281.0,450.87,7.9639
1,2002.00068493,5.046,75781.0,463.28,7.9361
1,2002.00079909,5.423,62633.0,464.72,7.7796
1,2002.00091324,5.171,62884.0,450.83,7.4467
1,2002.0010274,4.882,60731.0,438.71,7.1806
1,2002.00114155,4.989,54643.0,434.35,7.0376
1,2002.00125571,4.857,52410.0,431.46,7.0038
1,2002.00136986,5.121,44035.0,427.49,6.9687
1,2002.00148402,4.676,42208.0,423.41,6.7705
1,2002.00159817,3.612,46855.0,425.8,6.5878
1,2002.00171233,3.565,55285.0,417.02,6.435
1,2002.00182648,4.43,40153.0,418.7,6.5855
1,2002.00194064,4.019,39270.0,414.22,6.6435
1,2002.00205479,4.256,35912.0,426.34,6.7771
1,2002.00216895,3.665,37518.0,415.4,6.7071
1,2002.00228311,3.441,46598.0,415.23,6.758
1,2002.00239726,4.486,43711.0,420.72,7.3746
1,2002.00251142,5.079,52231.0,411.73,7.979
1,2002.00262557,4.601,52070.0,401.63,8.0356
1,2002.00273973,4.555,52255.0,399.07,7.9896
1,2002.00285388,5.187,58285.0,420.69,7.7474
1,2002.00296804,4.86,64860.0,407.07,7.6045
1,2002.00308219,4.564,59697.0,423.45,7.4835
1,2002.00319635,4.91,57284.0,427.18,7.1858
1,2002.0033105,4.904,46455.0,419.43,6.8893
1,2002.00342466,4.757,27816.0,421.7,6.4351
1,2002.00353881,4.871,53823.0,413.28,6.3254
1,2002.00365297,4.672,68215.0,410.54,6.58
1,2002.00376712,4.484,103010.0,398.81,6.2675
1,2002.00388128,5.222,78412.0,407.82,5.3809
1,2002.00399543,6.027,37222.0,425.42,6.4828
1,2002.00410959,5.944,40745.0,429.39,6.2426
1,2002.00422374,5.185,42262.0,419.19,5.8807
1,2002.0043379,5.372,51085.0,414.12,6.1384
1,2002.00445205,5.69,41778.0,407.45,6.3793
1,2002.00456621,5.174,55053.0,401.38,6.228
1,2002.00468037,3.478,51052.0,386.07,6.1781
1,2002.00479452,3.764,53772.0,383.05,6.1711
1,2002.00490868,3.647,74958.0,378.47,5.6986
1,2002.00502283,3.626,56215.0,380.11,5.5939
1,2002.00513699,4.096,82912.0,367.38,5.5088
1,2002.00525114,4.08,92215.0,359.89,5.5256
1,2002.0053653,4.421,80837.0,359.68,5.6338
1,2002.00547945,4.29,64202.0,366.35,6.1434
1,2002.00559361,3.966,72004.0,350.76,5.9716
1,2002.00570776,4.348,88766.0,354.05,5.7618
1,2002.00582192,4.337,87487.0,357.19,5.8922
1,2002.00593607,4.339,96280.0,355.98,5.5787
1,2002.00605023,3.669,72876.0,359.95,5.7959
1,2002.00616438,3.66,70719.0,355.62,6.055
1,2002.00627854,3.792,87963.0,349.51,5.8908
1,2002.00639269,3.51,81101.0,340.02,6.0377
1,2002.00650685,4.146,102560.0,344.09,5.8948
1,2002.006621,4.104,99457.0,345.41,5.7626
1,2002.00673516,4.322,81846.0,346.34,5.7502
1,2002.00684932,3.592,49731.0,334.93,5.9911
1,2002.00696347,2.987,50293.0,329.71,5.9165
1,2002.00707763,2.773,56329.0,328.07,5.8758
1,2002.00719178,,,332.65,5.7521
1,2002.00730594,,,330.57,5.5952
1,2002.00742009,,,327.47,5.6935
